filepaths,labels
flowers\tulip\0f5fe9bdc1.jpg.npy,tulip
flowers\sunflower\images49.jpg.npy,sunflower
flowers\tulip\14097328354_4f1469a170.jpg.npy,tulip
flowers\sunflower\5526324308_b333da0e57_n.jpg.npy,sunflower
flowers\tulip\7fc16e0b9398e336bae0ef91c0dbd15a.jpg.npy,tulip
flowers\rose\6b60eaa253.jpg.npy,rose
flowers\rose\402579111_3120889eaf_c.jpg.npy,rose
flowers\daisy\495098110_3a4bb30042_n.jpg.npy,daisy
flowers\sunflower\2067882323_8de6623ffd.jpg.npy,sunflower
flowers\dandelion\4645059627_9c890a677c_c.jpg.npy,dandelion
flowers\tulip\3909355648_42cb3a5e09_n.jpg.npy,tulip
flowers\sunflower\3f05a99b85.jpg.npy,sunflower
flowers\rose\16961613890_695b36aab2_m.jpg.npy,rose
flowers\dandelion\image_06321.jpg.npy,dandelion
flowers\dandelion\570127230_ce409f90f8_n.jpg.npy,dandelion
flowers\daisy\2561352120_7961d8263f.jpg.npy,daisy
flowers\daisy\1286274236_1d7ac84efb_n.jpg.npy,daisy
flowers\sunflower\6195101559_2a07d36da9_c.jpg.npy,sunflower
flowers\rose\image_01228.jpg.npy,rose
flowers\dandelion\a5357c05d0.jpg.npy,dandelion
flowers\rose\5097708248_c4caf7ccfb_c.jpg.npy,rose
flowers\rose\5993847284_820c72f049_c.jpg.npy,rose
flowers\dandelion\19617501581_606be5f716_n.jpg.npy,dandelion
flowers\rose\15822837396_96b392fda8_m.jpg.npy,rose
flowers\dandelion\29.jpg.npy,dandelion
flowers\daisy\image_02202.jpg.npy,daisy
flowers\daisy\15306268004_4680ba95e1_jpg.rf.f23678a0237e277a03063f819fde8fb6.jpg.npy,daisy
flowers\dandelion\5772194932_60b833091f.jpg.npy,dandelion
flowers\sunflower\4933228903_9ae82d0b9d.jpg.npy,sunflower
flowers\dandelion\4545021876_3c749a2d90_c.jpg.npy,dandelion
flowers\dandelion\image_06335.jpg.npy,dandelion
flowers\rose\3e831a1cba.jpg.npy,rose
flowers\tulip\13910479407_936fd3122d.jpg.npy,tulip
flowers\daisy\10391248763_1d16681106_n_jpg.rf.9e5d0cdda4652c9179d6696b9ad227f4.jpg.npy,daisy
flowers\tulip\20093632966_0d53e13036_n.jpg.npy,tulip
flowers\daisy\10993710036_2033222c91_jpg.rf.cb285113590c4eb5b8ebb6c1d65c2446.jpg.npy,daisy
flowers\rose\image_01259.jpg.npy,rose
flowers\tulip\2436998042_4906ea07af.jpg.npy,tulip
flowers\dandelion\cd0a7a4207.jpg.npy,dandelion
flowers\rose\2053476785_c162a3e358.jpg.npy,rose
flowers\dandelion\7280227122_7ea2bef7f4_c.jpg.npy,dandelion
flowers\rose\410425647_4586667858.jpg.npy,rose
flowers\daisy\1955336401_fbb206d6ef_n.jpg.npy,daisy
flowers\dandelion\4812284203_8451f351ed_c.jpg.npy,dandelion
flowers\tulip\25112947843_074c4e8113_c.jpg.npy,tulip
flowers\dandelion\7197581386_8a51f1bb12_n.jpg.npy,dandelion
flowers\sunflower\9721753036_59fa5e9bb8_c.jpg.npy,sunflower
flowers\sunflower\16616096711_12375a0260_n.jpg.npy,sunflower
flowers\sunflower\20183071136_c297e74fcc_m.jpg.npy,sunflower
flowers\tulip\fca5099949.jpg.npy,tulip
flowers\rose\16545641666_2781e542a0_m.jpg.npy,rose
flowers\tulip\386341974_56baff9c05_c.jpg.npy,tulip
flowers\sunflower\5115287579_44b6c81629_c.jpg.npy,sunflower
flowers\sunflower\14928117202_139d2142cc_n.jpg.npy,sunflower
flowers\tulip\26628986786_a91ce5a31e_c.jpg.npy,tulip
flowers\sunflower\15160519372_c685d0f4f4_c.jpg.npy,sunflower
flowers\sunflower\field-sunflower-568715.jpg.npy,sunflower
flowers\dandelion\7099059437_2ce701fa92_c.jpg.npy,dandelion
flowers\daisy\daisy-flowers-tea-infuser-healthy-chamomile-herbal-cup-149976147.jpg.npy,daisy
flowers\daisy\four-pink-daisy-21067968.jpg.npy,daisy
flowers\dandelion\7247192002_39b79998f0_n.jpg.npy,dandelion
flowers\tulip\tulips-springtime-14290101.jpg.npy,tulip
flowers\rose\set-beautiful-roses-rain-drops-isolated-white-background-overhead-view-55141866.jpg.npy,rose
flowers\rose\8abddcc8c1.jpg.npy,rose
flowers\sunflower\5973935729_2868f2db1f_n.jpg.npy,sunflower
flowers\daisy\34664107325_701d5c6f08_n_jpg.rf.6f29e1db06a523bf25f33232ae7e8991.jpg.npy,daisy
flowers\dandelion\16911008669_ea21fd8915_n.jpg.npy,dandelion
flowers\daisy\33859244503_eeeca6a397_n.jpg.npy,daisy
flowers\dandelion\image_06322.jpg.npy,dandelion
flowers\dandelion\9579531821_7231798fd2_c.jpg.npy,dandelion
flowers\sunflower\8266310743_02095e782d_m.jpg.npy,sunflower
flowers\rose\17165596357_392a12391f.jpg.npy,rose
flowers\rose\160954292_6c2b4fda65_n.jpg.npy,rose
flowers\rose\valentines-day-background-red-roses-happy-distressed-vintage-recycled-wood-table-48753292.jpg.npy,rose
flowers\sunflower\46295264632_ec5a4ab7f9_c.jpg.npy,sunflower
flowers\sunflower\3839200683_08733e35a8_c.jpg.npy,sunflower
flowers\rose\18220342690_f1c20134bd.jpg.npy,rose
flowers\rose\4625089819_55c45a189c.jpg.npy,rose
flowers\tulip\colorful-tulip-flower-fields-blooming-garden-92210781.jpg.npy,tulip
flowers\rose\4719627283_e900d40212_c.jpg.npy,rose
flowers\daisy\14591326135_930703dbed_m.jpg.npy,daisy
flowers\daisy\99306615_739eb94b9e_m.jpg.npy,daisy
flowers\daisy\9299302012_958c70564c_n.jpg.npy,daisy
flowers\sunflower\9384867134_83af458a19_n.jpg.npy,sunflower
flowers\sunflower\2741639271_b76a8f2e40_c.jpg.npy,sunflower
flowers\rose\5001846725_7bb1b9fedf_n.jpg.npy,rose
flowers\sunflower\f5dd529471.jpg.npy,sunflower
flowers\dandelion\16495282564_d8c34d6a2e_m.jpg.npy,dandelion
flowers\tulip\40970b8eacb488a39cdeb6b131aa1bc5.jpg.npy,tulip
flowers\tulip\5a271d30ab8988760bf8f1e6182aba07.jpg.npy,tulip
flowers\sunflower\4955028100_4116f75769_c.jpg.npy,sunflower
flowers\dandelion\2389720627_8923180b19.jpg.npy,dandelion
flowers\rose\beautiful-pink-rose-flower-sunny-day-garden-212876427.jpg.npy,rose
flowers\sunflower\5521713652_2faec10e90_c.jpg.npy,sunflower
flowers\sunflower\7813722196_74c789fc70_c.jpg.npy,sunflower
flowers\rose\roses-19398741.jpg.npy,rose
flowers\rose\28922847943_1be809bdf4_c.jpg.npy,rose
flowers\daisy\5881907044_92a85a05c8_n.jpg.npy,daisy
flowers\dandelion\dandelion-2316790.jpg.npy,dandelion
flowers\sunflower\asda.jpg.npy,sunflower
flowers\tulip\2427487941_47a60ed00c_c.jpg.npy,tulip
flowers\sunflower\16.jpg.npy,sunflower
flowers\tulip\6258188995_dd3698b382_c.jpg.npy,tulip
flowers\dandelion\17466568484_9128287148.jpg.npy,dandelion
flowers\sunflower\4543673154_b870f5044a_c.jpg.npy,sunflower
flowers\sunflower\4419012463_1bf3f81dd7_c.jpg.npy,sunflower
flowers\dandelion\4fe17900e6.jpg.npy,dandelion
flowers\daisy\144099102_bf63a41e4f_n.jpg.npy,daisy
flowers\tulip\3600510954_a51bfc5440_n.jpg.npy,tulip
flowers\daisy\16020253176_60f2a6a5ca_n.jpg.npy,daisy
flowers\tulip\3d0031bdae0d91f5ab0e53c47defc3ac.jpg.npy,tulip
flowers\dandelion\dandelion-flower-14077686.jpg.npy,dandelion
flowers\tulip\2897874027_83b2d2d116_c.jpg.npy,tulip
flowers\sunflower\4024829134_37209a3c88_c.jpg.npy,sunflower
flowers\daisy\image_06221.jpg.npy,daisy
flowers\tulip\b9e2a8acdb.jpg.npy,tulip
flowers\sunflower\5a73141a02.jpg.npy,sunflower
flowers\tulip\5442117707_5221867930_c.jpg.npy,tulip
flowers\sunflower\21649166029_fe5dc19540_c.jpg.npy,sunflower
flowers\daisy\9054268881_19792c5203_n.jpg.npy,daisy
flowers\daisy\5574421625_61b1f49b3f_m_jpg.rf.0f68b447ab8afb392171a09cba159c11.jpg.npy,daisy
flowers\dandelion\31530587330_ba31bd196e_n.jpg.npy,dandelion
flowers\tulip\6f8b97ee65.jpg.npy,tulip
flowers\tulip\20e1121d98.jpg.npy,tulip
flowers\dandelion\8747223572_dcd9601e99.jpg.npy,dandelion
flowers\rose\464922216_12b3782454_c.jpg.npy,rose
flowers\sunflower\5970301989_fe3a68aac8_m.jpg.npy,sunflower
flowers\tulip\15922772266_1167a06620.jpg.npy,tulip
flowers\tulip\3454461550_64d6e726bf_m.jpg.npy,tulip
flowers\sunflower\images9.jpg.npy,sunflower
flowers\sunflower\images2.jpg.npy,sunflower
flowers\sunflower\1cb40f00f5.jpg.npy,sunflower
flowers\tulip\5699994479_76b3884245_c.jpg.npy,tulip
flowers\tulip\f69c854449.jpg.npy,tulip
flowers\daisy\5087720485_c0914fb623.jpg.npy,daisy
flowers\dandelion\4612659581_cc5b13aa0b_c.jpg.npy,dandelion
flowers\dandelion\4573886524_5161482ca7_n.jpg.npy,dandelion
flowers\tulip\a398918ea3.jpg.npy,tulip
flowers\dandelion\39875717094_e28bf46f12_c.jpg.npy,dandelion
flowers\rose\image_01260.jpg.npy,rose
flowers\tulip\16224812675_b7bb2c1ab2_c.jpg.npy,tulip
flowers\dandelion\9517326597_5d116a0166.jpg.npy,dandelion
flowers\tulip\3404038663_f62cf8eba3_n.jpg.npy,tulip
flowers\rose\42859879880_5f50d05e11_c.jpg.npy,rose
flowers\daisy\22b81a67e90a59ce34d28e3fba06c41d.jpg.npy,daisy
flowers\sunflower\4869189730_f47c124cda_n.jpg.npy,sunflower
flowers\sunflower\3846717708_ea11383ed8.jpg.npy,sunflower
flowers\rose\4939574115_ace337bcd3_c.jpg.npy,rose
flowers\rose\4684127262_6c3346188d.jpg.npy,rose
flowers\daisy\21805938544_bf6bb0e4bc_jpg.rf.d80195964d23775f3cb7e19d2b145b41.jpg.npy,daisy
flowers\rose\2607130050_9c34310004.jpg.npy,rose
flowers\tulip\orange-color-tulip-flower-close-up-beautiful-background-39838815.jpg.npy,tulip
flowers\rose\1f2ab3c3bb.jpg.npy,rose
flowers\sunflower\6817420392_8dac4b581e_c.jpg.npy,sunflower
flowers\sunflower\6962789991_19f0cb15b5_c.jpg.npy,sunflower
flowers\dandelion\2161602482_3b49729930_c.jpg.npy,dandelion
flowers\rose\401814564_c2f5f9c507_c.jpg.npy,rose
flowers\dandelion\a012597c36.jpg.npy,dandelion
flowers\daisy\daisy-22881460.jpg.npy,daisy
flowers\rose\34009284304_c50bc29d59_c.jpg.npy,rose
flowers\tulip\2087981909_fd468de5c4_n.jpg.npy,tulip
flowers\tulip\4589045663_653cc64f8b_c.jpg.npy,tulip
flowers\dandelion\30028010821_47a70c94a2_c.jpg.npy,dandelion
flowers\daisy\34266044490_01dacd2ac2_n_jpg.rf.7a824cd5b2506057e835e9508c63fe4b.jpg.npy,daisy
flowers\tulip\7055500907_dcf2bb50e0.jpg.npy,tulip
flowers\dandelion\329520344_9de3bc2904_c.jpg.npy,dandelion
flowers\tulip\14270573963_f122c40438.jpg.npy,tulip
flowers\tulip\12ff32997b.jpg.npy,tulip
flowers\rose\c16b780d72.jpg.npy,rose
flowers\rose\5360769702_ec28c53b9e_n.jpg.npy,rose
flowers\sunflower\43799764772_ba26d31dca_c.jpg.npy,sunflower
flowers\tulip\13724535465_e2ceee6a21_c.jpg.npy,tulip
flowers\sunflower\15163908748_12507d3c85_c.jpg.npy,sunflower
flowers\tulip\e4673b7599c6b9f46231a0d7582b4d60.jpg.npy,tulip
flowers\dandelion\41275261062_d677f327a9_c.jpg.npy,dandelion
flowers\dandelion\5598014250_684c28bd5c_n.jpg.npy,dandelion
flowers\daisy\34546994701_a000b283f1_n.jpg.npy,daisy
flowers\sunflower\35349571271_787da1de42_c.jpg.npy,sunflower
flowers\tulip\8480457565_18d0098c0f_c.jpg.npy,tulip
flowers\daisy\13491959645_2cd9df44d6_n_jpg.rf.cb35339700e99dee8fc7ba12356e2c86.jpg.npy,daisy
flowers\daisy\0372d5630c.jpg.npy,daisy
flowers\tulip\20742669999_53de71a4c9_n.jpg.npy,tulip
flowers\sunflower\3842933025_63531575be_c.jpg.npy,sunflower
flowers\daisy\4117918318_3c8935289b_m.jpg.npy,daisy
flowers\rose\7525783408_0999483bf4_m.jpg.npy,rose
flowers\rose\4656728672_c56b067652_c.jpg.npy,rose
flowers\dandelion\712a95c822.jpg.npy,dandelion
flowers\rose\5673757636_4d4b3ca108_c.jpg.npy,rose
flowers\tulip\26096925041_c397163e7f_c.jpg.npy,tulip
flowers\tulip\pink-tulips-4157378.jpg.npy,tulip
flowers\sunflower\16832961488_5f7e70eb5e_n.jpg.npy,sunflower
flowers\rose\6889145833_2b67df3b75_c.jpg.npy,rose
flowers\sunflower\d1c913de56.jpg.npy,sunflower
flowers\rose\white_rose_petals_and_bouquets_picture_166722.jpg.npy,rose
flowers\tulip\33354472940_d009e70925_c.jpg.npy,tulip
flowers\daisy\3491933306_43cfe2cfbe_jpg.rf.eccd06934c09a19224d1cee906292f9c.jpg.npy,daisy
flowers\daisy\299129811_d6ebda9970.jpg.npy,daisy
flowers\rose\15255964274_cf2ecdf702.jpg.npy,rose
flowers\dandelion\34695057206_98de825612_n.jpg.npy,dandelion
flowers\sunflower\images20.jpg.npy,sunflower
flowers\dandelion\7767544384_f3b73de634_c.jpg.npy,dandelion
flowers\sunflower\7-sunflower-varieties-for-your-garden-pv.jpg.npy,sunflower
flowers\daisy\9d4a4b4831.jpg.npy,daisy
flowers\dandelion\19443674130_08db1d9578_m.jpg.npy,dandelion
flowers\tulip\866f1e310ff426a4f9d4fa9486574c8a.jpg.npy,tulip
flowers\daisy\4993492878_11fd4f5d12.jpg.npy,daisy
flowers\sunflower\19519101829_46af0b4547_m.jpg.npy,sunflower
flowers\rose\3554087840_d2d8958ab3_c.jpg.npy,rose
flowers\rose\6280787884_141cd7b382_n.jpg.npy,rose
flowers\dandelion\4613233362_a9ce9d5a0f_c.jpg.npy,dandelion
flowers\dandelion\4644650103_7d9962672e_c.jpg.npy,dandelion
flowers\daisy\11891885265_ccefec7284_n.jpg.npy,daisy
flowers\tulip\4305095198_fe51649fbb_c.jpg.npy,tulip
flowers\dandelion\4989761456_ca18618190_c.jpg.npy,dandelion
flowers\rose\1364158308_21aebc5805_c.jpg.npy,rose
flowers\sunflower\3798841385_38142ea3c6_n.jpg.npy,sunflower
flowers\rose\red-roses-1092570.jpg.npy,rose
flowers\rose\image_01209.jpg.npy,rose
flowers\tulip\14110168274_15297495ef_c.jpg.npy,tulip
flowers\daisy\7633425046_8293e3d0e9_m_jpg.rf.b35fc1c1726297d15dc3503a4f7e6208.jpg.npy,daisy
flowers\daisy\beautiful-pink-gerbera-daisy-flower-isolated-white-background-38997292.jpg.npy,daisy
flowers\tulip\13542672763_20c3cb9272.jpg.npy,tulip
flowers\daisy\107592979_aaa9cdfe78_m.jpg.npy,daisy
flowers\tulip\bebe4f75c1.jpg.npy,tulip
flowers\tulip\4451916809_d6b3d230fa_c.jpg.npy,tulip
flowers\tulip\5700572638_296ef0743e_c.jpg.npy,tulip
flowers\sunflower\1279740126_5f88f8b32f_c.jpg.npy,sunflower
flowers\tulip\13911047024_8966d70560_n.jpg.npy,tulip
flowers\tulip\17199499591_67b64b21ed_m.jpg.npy,tulip
flowers\sunflower\sunflower-oil-9023851.jpg.npy,sunflower
flowers\tulip\14087892193_653a3ac7ca_n.jpg.npy,tulip
flowers\rose\16581536920_9978228bb9_c.jpg.npy,rose
flowers\dandelion\2417649048_c4e791055a_c.jpg.npy,dandelion
flowers\sunflower\9c35d62df9.jpg.npy,sunflower
flowers\sunflower\14881304632_54a9dfb8be.jpg.npy,sunflower
flowers\dandelion\11768468623_9399b5111b_n.jpg.npy,dandelion
flowers\tulip\15721838401_122ce2925f_c.jpg.npy,tulip
flowers\daisy\5874818796_3efbb8769d_jpg.rf.f6cc96ec6fd9f21c38039c797ec81c92.jpg.npy,daisy
flowers\tulip\5380767813_20b902159e_c.jpg.npy,tulip
flowers\dandelion\41302400594_27ba8427fd_c.jpg.npy,dandelion
flowers\sunflower\40745133974_4b0f3dc29d_c.jpg.npy,sunflower
flowers\rose\3181fa4527.jpg.npy,rose
flowers\sunflower\d8e2df4062007bb17d4d08b5678c2ed0.jpg.npy,sunflower
flowers\sunflower\beautiful-sunflower-10137401.jpg.npy,sunflower
flowers\daisy\11834945233_a53b7a92ac_m_jpg.rf.e94e6ba3609a925e79d287cfa5cdaf70.jpg.npy,daisy
flowers\sunflower\sunflower-field-25455444.jpg.npy,sunflower
flowers\tulip\fc9534850a1ce3a776f69eb82ec19d76.jpg.npy,tulip
flowers\rose\890675906_d5efac343c_c.jpg.npy,rose
flowers\sunflower\36220701101_f520ea61d5_c.jpg.npy,sunflower
flowers\dandelion\dandelion-23183488.jpg.npy,dandelion
flowers\tulip\13793000744_7e73b19d9b_c.jpg.npy,tulip
flowers\dandelion\image_06331.jpg.npy,dandelion
flowers\tulip\16832968049_22e8f38109_c.jpg.npy,tulip
flowers\sunflower\close-up-sunflower-11248296.jpg.npy,sunflower
flowers\tulip\25429468133_6bfba75d94_n.jpg.npy,tulip
flowers\rose\14489445424_2f9d8cd0e2_c.jpg.npy,rose
flowers\sunflower\2836428588_6707dc6272_c.jpg.npy,sunflower
flowers\dandelion\452648593_233a235856_c.jpg.npy,dandelion
flowers\tulip\85700059_dab8cbf21e_c.jpg.npy,tulip
flowers\daisy\4861391074_c3e122dab0_m_jpg.rf.fdb11e2e36dbf50ed3dd3bd0740bbfaa.jpg.npy,daisy
flowers\rose\29671161616_be206e25b7_c.jpg.npy,rose
flowers\sunflower\01712_01_procutorange.jpg.npy,sunflower
flowers\rose\12165480946_c4a3fe182d_n.jpg.npy,rose
flowers\tulip\082d3596b1.jpg.npy,tulip
flowers\rose\bouquet-roses-15038859.jpg.npy,rose
flowers\sunflower\7728953426_abd179ab63.jpg.npy,sunflower
flowers\sunflower\sunflower-4388554.jpg.npy,sunflower
flowers\tulip\33596584351_bacedf8720_c.jpg.npy,tulip
flowers\tulip\4590088191_4bb7be0358_c.jpg.npy,tulip
flowers\dandelion\33964700018_87bda19336_c.jpg.npy,dandelion
flowers\rose\beautiful-pink-roses-isolated-white-background-top-view-copy-space-beautiful-pink-roses-isolated-white-background-top-view-169262098.jpg.npy,rose
flowers\tulip\14034967076_87620c0414_c.jpg.npy,tulip
flowers\sunflower\283524535_0bac09d9ba_c.jpg.npy,sunflower
flowers\dandelion\45.jpg.npy,dandelion
flowers\tulip\6e3460739b.jpg.npy,tulip
flowers\rose\f67cf94030.jpg.npy,rose
flowers\tulip\8d388c9991b58312c92bcc612c7d85bc.jpg.npy,tulip
flowers\dandelion\17649230811_9bdbbacb8c.jpg.npy,dandelion
flowers\rose\roses-blue-vase-10797211.jpg.npy,rose
flowers\sunflower\GRAY.sunflower.jpg.npy,sunflower
flowers\sunflower\5018120483_cc0421b176_m.jpg.npy,sunflower
flowers\dandelion\cdc8db46fc.jpg.npy,dandelion
flowers\tulip\108001022_4d2f22323b_c.jpg.npy,tulip
flowers\dandelion\7155420510_91b6bf0317_c.jpg.npy,dandelion
flowers\tulip\tulips-vase-5095300.jpg.npy,tulip
flowers\rose\a52ba9ca8a.jpg.npy,rose
flowers\daisy\e31e1316d3.jpg.npy,daisy
flowers\sunflower\1236047831_3e30999b98_c.jpg.npy,sunflower
flowers\tulip\5668319663_d401197fb1_c.jpg.npy,tulip
flowers\daisy\307b713210523a7b53826ee3684b0476.jpg.npy,daisy
flowers\rose\26720380763_be6ef9c599_c.jpg.npy,rose
flowers\sunflower\3921077521_915b7181d3_c.jpg.npy,sunflower
flowers\rose\42183045_abd3a75314_c.jpg.npy,rose
flowers\tulip\4eeb6927458d3d44aeb7f5bfa1c13f58.jpg.npy,tulip
flowers\rose\red-rose-flower-stem-isolated-white-13254346.jpg.npy,rose
flowers\sunflower\hands-holding-sunflower-2993059.jpg.npy,sunflower
flowers\dandelion\5415377052_4819136cb0_c.jpg.npy,dandelion
flowers\sunflower\56.jpg.npy,sunflower
flowers\rose\16374919860_4e445de29f_n.jpg.npy,rose
flowers\sunflower\8563099326_8be9177101.jpg.npy,sunflower
flowers\dandelion\8805314187_1aed702082_n.jpg.npy,dandelion
flowers\tulip\4525067924_177ea3bfb4.jpg.npy,tulip
flowers\dandelion\6672146385_8fa93048cf_c.jpg.npy,dandelion
flowers\daisy\2649404904_b7a91991bb_n_jpg.rf.e33d01624457d9a22d01a810b1dbc9b1.jpg.npy,daisy
flowers\daisy\daisy-flowers-27407301.jpg.npy,daisy
flowers\tulip\easter-background-white-tulip-sunny-meadow-spring-landscape-beautiful-tulips-blooming-flowers-growing-field-against-blue-138561651.jpg.npy,tulip
flowers\rose\15179109176_41979a406d_c.jpg.npy,rose
flowers\sunflower\22309840828_e4fc3509f2_c.jpg.npy,sunflower
flowers\sunflower\6606806621_5267acdd38.jpg.npy,sunflower
flowers\rose\bouquet-seven-roses-winter-garden-rose-winter-season-bouquet-seven-roses-winter-garden-105059033.jpg.npy,rose
flowers\daisy\34342014230_4230ae8e08_n_jpg.rf.3108cc9d37154a3e7388804f250f0f8b.jpg.npy,daisy
flowers\dandelion\4691257171_23a29aaa33_n.jpg.npy,dandelion
flowers\tulip\13831772125_361fea34b8_c.jpg.npy,tulip
flowers\dandelion\33882910234_dd8f1479e3_n.jpg.npy,dandelion
flowers\rose\15816400548_c551da2212_n.jpg.npy,rose
flowers\dandelion\33886931523_4499a65b72_n.jpg.npy,dandelion
flowers\rose\67c7147883aa32558d3abca017d1d8a7.jpg.npy,rose
flowers\sunflower\image_05400.jpg.npy,sunflower
flowers\tulip\e359688dc1.jpg.npy,tulip
flowers\sunflower\107636804_fa65e111c6_c.jpg.npy,sunflower
flowers\sunflower\7176729016_d73ff2211e.jpg.npy,sunflower
flowers\rose\20409866779_ac473f55e0_m.jpg.npy,rose
flowers\rose\5083072098_81587295d5.jpg.npy,rose
flowers\dandelion\7148085703_b9e8bcd6ca_n.jpg.npy,dandelion
flowers\tulip\8713407768_f880df361f.jpg.npy,tulip
flowers\tulip\1721148764_3cc91a3b9f_c.jpg.npy,tulip
flowers\tulip\3396033831_bb88d93630.jpg.npy,tulip
flowers\tulip\tulips-common-grape-hyacinth-8321631.jpg.npy,tulip
flowers\sunflower\10386525695_2c38fea555_n.jpg.npy,sunflower
flowers\tulip\7064813645_f7f48fb527.jpg.npy,tulip
flowers\tulip\251811158_75fa3034ff.jpg.npy,tulip
flowers\dandelion\cbb2ed9784.jpg.npy,dandelion
flowers\dandelion\2634666217_d5ef87c9f7_m.jpg.npy,dandelion
flowers\rose\4656704310_39fb90218a_c.jpg.npy,rose
flowers\dandelion\2501724075_ec6710f20d_c.jpg.npy,dandelion
flowers\sunflower\7ef4d3a04b.jpg.npy,sunflower
flowers\daisy\4668543441_79040ca329_n.jpg.npy,daisy
flowers\sunflower\3837301947_0733dcdbb8_c.jpg.npy,sunflower
flowers\sunflower\sunflowers2.jpg.npy,sunflower
flowers\dandelion\7998106328_c3953f70e9_n.jpg.npy,dandelion
flowers\sunflower\sunflower-17884839.jpg.npy,sunflower
flowers\dandelion\image_06304.jpg.npy,dandelion
flowers\dandelion\14301338611_46b5695844_c.jpg.npy,dandelion
flowers\sunflower\3310980409_e83d0c81b8_c.jpg.npy,sunflower
flowers\daisy\daisy-flowers-green-grass-13318988.jpg.npy,daisy
flowers\rose\4648680921_80dfc4f12a.jpg.npy,rose
flowers\rose\3944870816_1f1a1c301c_c.jpg.npy,rose
flowers\dandelion\8691437509_9ac8441db7_n.jpg.npy,dandelion
flowers\rose\flowers-wall-background-amazing-red-white-roses-wedding-decoration-hand-made-toning-93172456.jpg.npy,rose
flowers\rose\c2759d547a0c45715bc36b6498a9b544.jpg.npy,rose
flowers\sunflower\68.jpg.npy,sunflower
flowers\rose\roses-14677735.jpg.npy,rose
flowers\tulip\2351637471_5dd34fd3ac_n.jpg.npy,tulip
flowers\tulip\228805c9a3f48830c8c684b86f0dbe50.jpg.npy,tulip
flowers\daisy\5.jpg.npy,daisy
flowers\dandelion\34678209886_9005f29b47_n.jpg.npy,dandelion
flowers\tulip\7083192179_3457a28e5d_c.jpg.npy,tulip
flowers\sunflower\original.jpg.npy,sunflower
flowers\tulip\445474376_f7a0e5fdd3_c.jpg.npy,tulip
flowers\tulip\7131956969_b7e866a1d8_c.jpg.npy,tulip
flowers\rose\ac84f8fe05.jpg.npy,rose
flowers\sunflower\9718520969_9dabea8e2f_c.jpg.npy,sunflower
flowers\dandelion\19526570282_1d1e71b0f3_m.jpg.npy,dandelion
flowers\dandelion\9a138d799b.jpg.npy,dandelion
flowers\dandelion\7350831420_d439443df8_c.jpg.npy,dandelion
flowers\rose\8644003462_2272de26eb.jpg.npy,rose
flowers\dandelion\2476098674_e6f39536f5_n.jpg.npy,dandelion
flowers\dandelion\35089161721_dfb1b399d2_c.jpg.npy,dandelion
flowers\dandelion\5603741494_f96dde0254_c.jpg.npy,dandelion
flowers\tulip\5680695867_baff72fc7c.jpg.npy,tulip
flowers\daisy\34638378196_216d5bbc2e_n_jpg.rf.6b33ecaba29df6282071e6a89700a3e7.jpg.npy,daisy
flowers\tulip\5674132053_b40a7d32ca.jpg.npy,tulip
flowers\sunflower\7545b542f1.jpg.npy,sunflower
flowers\tulip\de31d33079.jpg.npy,tulip
flowers\rose\image_01290.jpg.npy,rose
flowers\daisy\61.jpg.npy,daisy
flowers\dandelion\5685470183_8543810bdc_c.jpg.npy,dandelion
flowers\rose\roses-232333.jpg.npy,rose
flowers\sunflower\35020175562_33f2b4723b_c.jpg.npy,sunflower
flowers\tulip\14238880681_2b86165b41_n.jpg.npy,tulip
flowers\dandelion\44459119981_301ba26ed4_c.jpg.npy,dandelion
flowers\daisy\8964198962_6d8593b533_jpg.rf.3ada670fa71fc4507d9e90c4991959a8.jpg.npy,daisy
flowers\dandelion\10200780773_c6051a7d71_n.jpg.npy,dandelion
flowers\tulip\13935420569_8ce370cde6_c.jpg.npy,tulip
flowers\rose\34218736571_31c303e288_c.jpg.npy,rose
flowers\rose\feeae38c4096492c49d8260c975d1c28.jpg.npy,rose
flowers\tulip\tulip-flower-25074199.jpg.npy,tulip
flowers\rose\4684842824_a8b6a5a0e0_c.jpg.npy,rose
flowers\rose\red-roses-1149940_12802B2528Copy2529.jpg.npy,rose
flowers\rose\pink-roses-1603214.jpg.npy,rose
flowers\tulip\red-yellow-tulips-706338.jpg.npy,tulip
flowers\daisy\1299501272_59d9da5510_n_jpg.rf.8d7ab330c3ee08f67d7b3d5cc72996bb.jpg.npy,daisy
flowers\rose\13264214185_d6aa79b3bd.jpg.npy,rose
flowers\rose\closeup-image-beautiful-asian-woman-holding-giving-red-roses-flower-valentine-s-day-closeup-image-beautiful-asian-170880055.jpg.npy,rose
flowers\daisy\9225336602_e6c392f941_n_jpg.rf.782af85aa254722d5e1d5a7e33633388.jpg.npy,daisy
flowers\rose\4737907017_e48314f056_c.jpg.npy,rose
flowers\daisy\2599662355_7782218c83.jpg.npy,daisy
flowers\dandelion\b1c7e7e714.jpg.npy,dandelion
flowers\daisy\13a6200d336d1c4b1d6c81240acd9cb2.jpg.npy,daisy
flowers\dandelion\5598591979_ed9af1b3e9_n.jpg.npy,dandelion
flowers\sunflower\6125761554_4e72819ce4_m.jpg.npy,sunflower
flowers\dandelion\5583077618_d9f75e104a_c.jpg.npy,dandelion
flowers\tulip\tulips-black-456385.jpg.npy,tulip
flowers\tulip\red-tulips-22809256.jpg.npy,tulip
